"filename", "language", "HTML", "PostCSS", "Markdown", "comment", "blank", "total"
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/README.md", "Markdown", 0, 0, 4, 0, 3, 7
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/about.html", "HTML", 232, 0, 0, 12, 14, 258
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/bakedgoods.html", "HTML", 469, 0, 0, 5, 18, 492
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/bakinglessons.html", "HTML", 223, 0, 0, 11, 11, 245
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/booking.html", "HTML", 318, 0, 0, 9, 19, 346
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/coffeeorder.html", "HTML", 427, 0, 0, 13, 14, 454
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/css/styles.css", "PostCSS", 0, 262, 0, 0, 51, 313
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/hampers.html", "HTML", 515, 0, 0, 24, 24, 563
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/index.html", "HTML", 404, 0, 0, 3, 17, 424
"Total", "-", 2588, 262, 4, 77, 171, 3102
